Feb14-05:28:57
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 diffusion_steps=80 temperature=1 schedule=True weight_decay=0.001  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
101 | 0.73s | train acc: 7.333e-01 | val acc: 5.440e-01 | test acc: 4.850e-01
201 | 0.73s | train acc: 6.333e-01 | val acc: 4.120e-01 | test acc: 4.160e-01
301 | 0.71s | train acc: 6.000e-01 | val acc: 4.140e-01 | test acc: 4.330e-01
401 | 0.67s | train acc: 5.167e-01 | val acc: 4.060e-01 | test acc: 4.350e-01
501 | 0.71s | train acc: 6.000e-01 | val acc: 4.120e-01 | test acc: 4.440e-01
601 | 0.67s | train acc: 5.667e-01 | val acc: 4.560e-01 | test acc: 4.990e-01
701 | 0.79s | train acc: 6.833e-01 | val acc: 5.320e-01 | test acc: 5.590e-01
801 | 0.69s | train acc: 7.833e-01 | val acc: 6.000e-01 | test acc: 6.440e-01
901 | 0.79s | train acc: 8.167e-01 | val acc: 6.860e-01 | test acc: 6.990e-01
1001 | 0.79s | train acc: 9.333e-01 | val acc: 7.560e-01 | test acc: 7.270e-01
1101 | 0.68s | train acc: 9.833e-01 | val acc: 7.660e-01 | test acc: 7.600e-01
1201 | 0.76s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 7.820e-01
1301 | 0.78s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 7.970e-01
1401 | 0.68s | train acc: 1.000e+00 | val acc: 8.220e-01 | test acc: 7.910e-01
1501 | 0.74s | train acc: 1.000e+00 | val acc: 8.240e-01 | test acc: 7.920e-01
1601 | 0.73s | train acc: 1.000e+00 | val acc: 8.240e-01 | test acc: 7.940e-01
1701 | 0.67s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.910e-01
1801 | 0.75s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.940e-01
1901 | 0.68s | train acc: 1.000e+00 | val acc: 8.240e-01 | test acc: 7.970e-01
2001 | 0.71s | train acc: 1.000e+00 | val acc: 8.260e-01 | test acc: 7.970e-01
2101 | 2.17s | train acc: 1.000e+00 | val acc: 8.220e-01 | test acc: 7.960e-01
2201 | 2.00s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.980e-01
2301 | 2.02s | train acc: 1.000e+00 | val acc: 8.260e-01 | test acc: 7.970e-01
2401 | 2.03s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.960e-01
2501 | 2.07s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.970e-01
2601 | 2.00s | train acc: 1.000e+00 | val acc: 8.260e-01 | test acc: 7.950e-01
2701 | 2.03s | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.000e-01
2801 | 2.12s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.990e-01
2901 | 2.02s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.970e-01
3001 | 2.06s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.980e-01
3101 | 2.11s | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 7.990e-01
3201 | 2.02s | train acc: 1.000e+00 | val acc: 8.240e-01 | test acc: 7.990e-01
3301 | 2.03s | train acc: 1.000e+00 | val acc: 8.260e-01 | test acc: 8.020e-01
3401 | 2.10s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 8.010e-01
3501 | 2.10s | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.990e-01
3601 | 2.07s | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.030e-01
3701 | 2.12s | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.050e-01
3801 | 2.02s | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.000e-01
3901 | 1.99s | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.050e-01
4001 | 2.06s | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.050e-01
4101 | 2.03s | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.080e-01
4201 | 2.06s | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.030e-01
4301 | 2.09s | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.040e-01
4401 | 2.05s | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.040e-01
4501 | 2.06s | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.090e-01
4601 | 2.12s | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.070e-01
4701 | 2.13s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.090e-01
4801 | 2.04s | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.130e-01
4901 | 2.08s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.100e-01
5001 | 2.05s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.130e-01
5101 | 2.07s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.080e-01
5201 | 2.03s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.100e-01
5301 | 2.04s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.130e-01
5401 | 2.10s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.100e-01
5501 | 2.04s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.120e-01
5601 | 2.06s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.100e-01
5701 | 2.04s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.090e-01
5801 | 2.01s | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.070e-01
5901 | 2.18s | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.080e-01
6001 | 2.07s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.100e-01
6101 | 2.09s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.110e-01
6201 | 2.12s | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.120e-01
6301 | 2.00s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.070e-01
6401 | 2.01s | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.060e-01
6501 | 2.10s | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.060e-01
6601 | 2.06s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.070e-01
6701 | 2.02s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.080e-01
